// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\Users\Unkno\OneDrive\Área de Trabalho\Mod02\Mod02\bin\Release\net9.0\c2c2f872-f290-4209-9ac4-73e24f790a3f\obj\Release\net9.0/" /p:OutDir="C:\Users\Unkno\OneDrive\Área de Trabalho\Mod02\Mod02\bin\Release\net9.0\c2c2f872-f290-4209-9ac4-73e24f790a3f\bin\Release\net9.0/" /p:OutputPath="C:\Users\Unkno\OneDrive\Área de Trabalho\Mod02\Mod02\bin\Release\net9.0\c2c2f872-f290-4209-9ac4-73e24f790a3f\bin\Release\net9.0/" in C:\Users\Unkno\OneDrive\Área de Trabalho\Mod02\Mod02\bin\Release\net9.0\c2c2f872-f290-4209-9ac4-73e24f790a3f
// command took 2.7 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\Users\Unkno\OneDrive\Área de Trabalho\Mod02\Mod02\bin\Release\net9.0\c2c2f872-f290-4209-9ac4-73e24f790a3f\obj\Release\net9.0/" /p:OutDir="C:\Users\Unkno\OneDrive\Área de Trabalho\Mod02\Mod02\bin\Release\net9.0\c2c2f872-f290-4209-9ac4-73e24f790a3f\bin\Release\net9.0/" /p:OutputPath="C:\Users\Unkno\OneDrive\Área de Trabalho\Mod02\Mod02\bin\Release\net9.0\c2c2f872-f290-4209-9ac4-73e24f790a3f\bin\Release\net9.0/" --output "C:\Users\Unkno\OneDrive\Área de Trabalho\Mod02\Mod02\bin\Release\net9.0\c2c2f872-f290-4209-9ac4-73e24f790a3f\bin\Release\net9.0/" in C:\Users\Unkno\OneDrive\Área de Trabalho\Mod02\Mod02\bin\Release\net9.0\c2c2f872-f290-4209-9ac4-73e24f790a3f
// command took 8.82 sec and exited with 0
// ***** Done, took 00:00:11 (11.75 sec)   *****
// Found 3 benchmarks:
//   ListVersusDictionary.GetValueFromList: DefaultJob
//   ListVersusDictionary.GetValueFromDictionary: DefaultJob
//   ListVersusDictionary.GetValueFromLinq: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: ListVersusDictionary.GetValueFromList: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet c2c2f872-f290-4209-9ac4-73e24f790a3f.dll --anonymousPipes 1484 1340 --benchmarkName ListVersusDictionary.GetValueFromList --job Default --benchmarkId 0 in C:\Users\Unkno\OneDrive\Área de Trabalho\Mod02\Mod02\bin\Release\net9.0\c2c2f872-f290-4209-9ac4-73e24f790a3f\bin\Release\net9.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 9.0.1 (9.0.124.61010), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 272100.00 ns, 272.1000 us/op
WorkloadJitting  1: 1 op, 568000.00 ns, 568.0000 us/op

OverheadJitting  2: 16 op, 614600.00 ns, 38.4125 us/op
WorkloadJitting  2: 16 op, 882600.00 ns, 55.1625 us/op

WorkloadPilot    1: 16 op, 75600.00 ns, 4.7250 us/op
WorkloadPilot    2: 32 op, 128700.00 ns, 4.0219 us/op
WorkloadPilot    3: 64 op, 250100.00 ns, 3.9078 us/op
WorkloadPilot    4: 128 op, 668500.00 ns, 5.2227 us/op
WorkloadPilot    5: 256 op, 1014100.00 ns, 3.9613 us/op
WorkloadPilot    6: 512 op, 2015800.00 ns, 3.9371 us/op
WorkloadPilot    7: 1024 op, 4897200.00 ns, 4.7824 us/op
WorkloadPilot    8: 2048 op, 8708600.00 ns, 4.2522 us/op
WorkloadPilot    9: 4096 op, 18168400.00 ns, 4.4356 us/op
WorkloadPilot   10: 8192 op, 37957000.00 ns, 4.6334 us/op
WorkloadPilot   11: 16384 op, 65824900.00 ns, 4.0176 us/op
WorkloadPilot   12: 32768 op, 80639400.00 ns, 2.4609 us/op
WorkloadPilot   13: 65536 op, 127510100.00 ns, 1.9456 us/op
WorkloadPilot   14: 131072 op, 256468600.00 ns, 1.9567 us/op
WorkloadPilot   15: 262144 op, 529824500.00 ns, 2.0211 us/op

OverheadWarmup   1: 262144 op, 1006700.00 ns, 3.8403 ns/op
OverheadWarmup   2: 262144 op, 1010500.00 ns, 3.8548 ns/op
OverheadWarmup   3: 262144 op, 1007200.00 ns, 3.8422 ns/op
